Model,ROUGE-1,ROUGE-2,ROUGE-L,Inference Time (ms),Model Size (MB),TOPSIS Score,Rank
facebook/bart-large-cnn,0.6336633663366337,0.6060606060606061,0.6336633663366337,15571.35,500,0.8274493950159743,1
google/pegasus-large,0.6981132075471698,0.6923076923076924,0.6981132075471698,24150.16,1000,0.7950451326182463,2
t5-small,0.5473684210526316,0.49462365591397855,0.5473684210526316,4321.08,300,0.745140675550453,3
facebook/bart-large-xsum,0.11111111111111112,0.022727272727272724,0.044444444444444446,9796.37,500,0.15948598767388908,4
google/pegasus-xsum,0.09195402298850576,0.047058823529411764,0.09195402298850576,23796.65,600,0.03616745760277347,5
